Weather and Climate Billion-Dollar Disasters to affect Arkansas from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Southern Severe Storms and Flooding (April 1980)",Flooding,19800410,19800417,2742.3,706.8,7
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Gulf States Storms and Flooding (December 1982-January 1983)",Flooding,19821201,19830115,4930.7,1536.1,45
"Southeast Drought (Summer 1983)",Drought,19830601,19830831,9544.4,2964.1,0
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1851.6,603.1,80
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"Southeast Drought/Heat Wave (Summer 1986)",Drought,19860601,19860831,5176.4,1803.6,100
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"Southern Flooding (May 1990)",Flooding,19900511,19900519,2446.7,1006.9,13
"Southeast Severe Weather (November 1992)",Severe Storm,19921121,19921123,1458.5,657,26
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6414.5,2997.5,9
"Midwest/Plains Tornadoes (April 1994)",Severe Storm,19940425,19940427,2098.3,985.1,3
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2017.6,984,872
"Blizzard/Floods (January 1996)",Winter Storm,19960101,19960131,6126.2,3003,187
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1925.8,977.5,67
"Southern Drought and Heat Wave (Summer 1998)",Drought,19980601,19980831,6879.7,3528,200
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3802.9,2012.1,55
"Eastern Drought/Heat Wave (Summer 1999)",Drought,19990601,19990831,4772.8,2498.9,502
"Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000)",Drought,20000301,20001130,9294.5,4997.2,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3663.9,2093.8,7
"Severe Storms/Tornadoes (May 2003)",Severe Storm,20030503,20030510,7059.5,4128.4,51
"Southern Derecho and Eastern Severe Weather (July 2003)",Severe Storm,20030721,20030723,1723.9,1008.2,7
"Midwest Drought (Spring-Summer 2005)",Drought,20050301,20050831,2433.6,1474.8,0
"Hurricane Rita (September 2005)",Tropical Cyclone,20050920,20050924,29230.2,18500.1,119
"Severe Storms and Tornadoes (March 2006)",Severe Storm,20060308,20060313,2100.1,1337.5,10
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)",Drought,20060301,20060831,9536.7,5997.9,0
"Spring Freeze (April 2007)",Freeze,20070404,20070410,3168.6,2044,0
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)",Drought,20070601,20071130,5484.6,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1463.3,982,12
"Southeast Tornadoes and Severe Weather (February 2008)",Severe Storm,20080205,20080206,1805.3,1211.6,57
"Southern Severe Weather (April 2008)",Severe Storm,20080409,20080411,1517.9,1039.6,2
