Weather and Climate Billion-Dollar Disasters to affect Iowa from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Severe Storms (June 1982)",Severe Storm,19820531,19820610,1574.2,479.9,30
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Northern Plains Drought (Summer-Fall 1989)",Drought,19890601,19891130,7808.1,3003.2,0
"U.S. Drought (Spring-Summer 1991)",Drought,19910301,19910831,7039.8,3008.5,0
"Northern Plains and Ohio Valley Severe Weather (July 1993)",Severe Storm,19930708,19930710,1403.9,644,1
"Midwest Flooding (Summer 1993)",Flooding,19930627,19930815,46323.6,20960.9,48
"Midwest/Plains Tornadoes (April 1994)",Severe Storm,19940425,19940427,2098.3,985.1,3
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1725.8,894,12
"Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000)",Drought,20000301,20001130,9294.5,4997.2,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"North Central Severe Weather (May 2001)",Severe Storm,20010430,20010501,1194.3,671,0
"Severe Storms/Tornadoes (May 2003)",Severe Storm,20030503,20030510,7059.5,4128.4,51
"Midwest/Plains Severe Weather (July 2003)",Severe Storm,20030704,20030709,1467.3,858.1,7
"Western/Central Drought/Heat Wave (Spring-Fall 2003)",Drought,20030301,20031130,8680.8,5017.7,35
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1682.9,1013.9,4
"Midwest Drought (Spring-Summer 2005)",Drought,20050301,20050831,2433.6,1474.8,0
"Midwest Tornadoes (April 2006)",Severe Storm,20060413,20060416,3780.6,2423.5,27
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)",Drought,20060301,20060831,9536.7,5997.9,0
"Spring Freeze (April 2007)",Freeze,20070404,20070410,3168.6,2044,0
"Midwest Tornadoes and Severe Weather (May 2008)",Severe Storm,20080522,20080527,4392.8,3029.5,13
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Midwest Flooding (Summer 2008)",Flooding,20080401,20080630,14838,9958.4,24
"Midwest/Southeast Tornadoes (March 2009)",Severe Storm,20090325,20090328,2427.9,1640.5,0
"Midwest/Northeast Severe Storms and Flooding (July 2010)",Severe Storm,20100720,20100723,1365.6,948.3,0
"Midwest/Southeast Tornadoes and Derecho (April 2011)",Severe Storm,20110404,20110405,3885.3,2775.2,9
"Southeast/Midwest Tornadoes (April 2011)",Severe Storm,20110408,20110411,3051,2179.3,0
"Mississippi River flooding (April-May 2011)",Flooding,20110401,20110531,4270.1,2986,7
