Weather and Climate Billion-Dollar Disasters to affect Indiana from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Severe Storms (June 1982)",Severe Storm,19820531,19820610,1574.2,479.9,30
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1503.1,645,0
"U.S. Drought (Spring-Summer 1991)",Drought,19910301,19910831,7039.8,3008.5,0
"Southeast Severe Weather (November 1992)",Severe Storm,19921121,19921123,1458.5,657,26
"Midwest Flooding (Summer 1993)",Flooding,19930627,19930815,46323.6,20960.9,48
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2236.3,1040,70
"Midwest/Plains Tornadoes (April 1994)",Severe Storm,19940425,19940427,2098.3,985.1,3
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2017.6,984,872
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1725.8,894,12
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Central and Eastern Winter Storm (Mid-January 1999)",Winter Storm,19990113,19990116,1684.8,882,0
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3802.9,2012.1,55
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3663.9,2093.8,7
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Hail (April 2003)",Severe Storm,20030404,20030407,3430.8,2006.3,3
"Severe Storms/Tornadoes (May 2003)",Severe Storm,20030503,20030510,7059.5,4128.4,51
"Midwest/Plains Severe Weather (July 2003)",Severe Storm,20030704,20030709,1467.3,858.1,7
"Southern Derecho and Eastern Severe Weather (July 2003)",Severe Storm,20030721,20030723,1723.9,1008.2,7
