Weather and Climate Billion-Dollar Disasters to affect North Dakota from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Northern Plains Drought (Summer-Fall 1989)",Drought,19890601,19891130,7808.1,3003.2,0
"Northern Plains and Ohio Valley Severe Weather (July 1993)",Severe Storm,19930708,19930710,1403.9,644,1
"Midwest Flooding (Summer 1993)",Flooding,19930627,19930815,46323.6,20960.9,48
"Northern Plains Flooding (Spring 1997)",Flooding,19970203,19970524,7242.7,3676.5,11
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Western/Central Drought/Heat Wave (Spring-Fall 2003)",Drought,20030301,20031130,8680.8,5017.7,35
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)",Drought,20060301,20060831,9536.7,5997.9,0
"U.S. Drought (2008)",Drought,20080101,20081231,10444.7,7009.8,0
"Missouri River flooding (May-June 2011)",Flooding,20110501,20110630,2863.3,2002.3,5
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)",Drought,20130301,20131130,14283.6,10425.9,53
"Western and Alaskan Wildfires (Summer-Fall 2015)",Wildfire,20150601,20151130,3996.9,3028,12
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,3250,2500,0
"Missouri River and North Central Flooding (March 2019)",Flooding,20190314,20190331,13408.9,10727,3
"Western/Central Drought and Heat Wave (Summer-Fall 2020)",Drought,20200601,20201230,5439.1,4495,45
"Central Severe Storms (July 2021)",Severe Storm,20210708,20210711,1242.2,1080,0
"Western Drought and Heat Wave (2021)",Drought,20210101,20211231,10117.2,8431,229
"North Central and Eastern Severe Weather (July 2022)",Severe Storm,20220722,20220724,1420.4,1340,1
"Central and Eastern Tornadoes and Hail Storms (May 2023)",Severe Storm,20230510,20230512,3563,3426,1
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)",Drought,20230401,20230930,14786.7,14082,247
