Weather and Climate Billion-Dollar Disasters to affect Nebraska from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Central/Eastern Drought/Heat Wave (Summer-Fall 1980)",Drought,19800601,19801130,40480.8,10020,1260
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Northern Plains Drought (Summer-Fall 1989)",Drought,19890601,19891130,7808.1,3003.2,0
"Northern Plains and Ohio Valley Severe Weather (July 1993)",Severe Storm,19930708,19930710,1403.9,644,1
"Midwest Flooding (Summer 1993)",Flooding,19930627,19930815,46323.6,20960.9,48
"Midwest/Plains Tornadoes (April 1994)",Severe Storm,19940425,19940427,2098.3,985.1,3
"Oklahoma and Kansas Tornadoes (May 1999)",Severe Storm,19990503,19990506,3802.9,2012.1,55
"Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000)",Drought,20000301,20001130,9294.5,4997.2,140
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"North Central Severe Weather (May 2001)",Severe Storm,20010430,20010501,1194.3,671,0
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Tornadoes (May 2003)",Severe Storm,20030503,20030510,7059.5,4128.4,51
"Western/Central Drought/Heat Wave (Spring-Fall 2003)",Drought,20030301,20031130,8680.8,5017.7,35
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1682.9,1013.9,4
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2502,1603.8,10
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)",Drought,20060301,20060831,9536.7,5997.9,0
"Spring Freeze (April 2007)",Freeze,20070404,20070410,3168.6,2044,0
"Midwest Tornadoes and Severe Weather (May 2008)",Severe Storm,20080522,20080527,4392.8,3029.5,13
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Midwest Flooding (Summer 2008)",Flooding,20080401,20080630,14838,9958.4,24
"Midwest/Southeast Tornadoes (March 2009)",Severe Storm,20090325,20090328,2427.9,1640.5,0
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1939,1328.1,0
"Midwest/Southeast Tornadoes and Severe Weather (June 2011)",Severe Storm,20110618,20110622,2136.6,1537.3,3
"Missouri River flooding (May-June 2011)",Flooding,20110501,20110630,2863.3,2002.3,5
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,20110817,20110818,1600.4,1151.4,0
"Midwest Tornadoes (April 2012)",Severe Storm,20120413,20120414,1539.4,1123.6,6
"Western Wildfires (Summer-Fall 2012)",Wildfire,20120601,20121130,2381.7,1738.5,8
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Midwest/Plains Severe Weather (April 2013)",Severe Storm,20130407,20130411,1949.4,1444,1
"Western/Plains Drought/Heat Wave (Spring-Fall 2013)",Drought,20130301,20131130,14283.6,10425.9,53
"Center Severe Weather (May 2014)",Severe Storm,20140510,20140514,1126,853,0
"Rockies/Central Plains Severe Weather (June 2014)",Severe Storm,20140603,20140605,2533.4,1919.2,2
"Southern Plains Tornadoes (May 2015)",Severe Storm,20150506,20150510,1679.2,1272.1,4
"Plains Tornadoes and Central Severe Weather (May 2016)",Severe Storm,20160508,20160511,2252.9,1719.6,2
"Midwest Tornado Outbreak (March 2017)",Severe Storm,20170306,20170308,2807.2,2176,2
"Midwest Severe Weather (June 2017)",Severe Storm,20170612,20170616,1931.5,1509,0
"Midwest Severe Weather (June 2017)",Severe Storm,20170627,20170629,1824,1425,0
"Central and Northeast Severe Weather (May 2018)",Severe Storm,20180501,20180504,1751.3,1390,0
"Rockies and Plains Hail Storms (August 2018)",Severe Storm,20180806,20180807,1281.4,1025,0
"Missouri River and North Central Flooding (March 2019)",Flooding,20190314,20190331,13408.9,10727,3
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,20190526,20190529,5655.6,4598,3
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,7649.6,6169,4
"Southeast and Eastern Tornado Outbreak (April 2020)",Severe Storm,20200412,20200413,4236.2,3444,35
"Central Severe Weather (July 2020)",Severe Storm,20200710,20200711,1447.4,1196,0
"Central Severe Weather - Derecho (August 2020)",Severe Storm,20200810,20200810,13342.7,11027,4
"Western/Central Drought and Heat Wave (Summer-Fall 2020)",Drought,20200601,20201230,5439.1,4495,45
"Central Severe Storms (July 2021)",Severe Storm,20210708,20210711,1242.2,1080,0
"Midwest Derecho and Tornado Outbreak (December 2021)",Severe Storm,20211215,20211215,2013.8,1782,1
"Southern Severe Weather (April 2022)",Severe Storm,20220411,20220413,2915.7,2675,1
"North Central Severe Weather (May 2022)",Severe Storm,20220511,20220512,2949.6,2706,1
"Central Severe Weather (June 2022)",Severe Storm,20220607,20220608,2025.7,1911,0
"Central Derecho (June 2022)",Severe Storm,20220613,20220613,3386.6,3195,1
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Western/Central Drought and Heat Wave (2022)",Drought,20220101,20221231,23480.6,20965,136
"Central Severe Weather (April 2023)",Severe Storm,20230419,20230420,3078.4,2960,1
"Rockies Hail Storms and Central and Eastern Severe Weather (June 2023)",Severe Storm,20230621,20230626,5401.4,5244,8
"Central Severe Weather (June 2023)",Severe Storm,20230628,20230702,1976.8,1919,3
"North Central and Eastern Severe Weather (July 2023)",Severe Storm,20230728,20230729,1526.6,1482,2
"Southern/Midwestern Drought and Heatwave (Spring-Fall 2023)",Drought,20230401,20230930,14786.7,14082,247
"Central and Southern Tornado Outbreak (April 2024)",Severe Storm,20240426,20240428,1681,1681,3
"Central, Southern, Eastern Severe Weather (May 2024)",Severe Storm,20240518,20240522,4859,4859,5
"Central and Eastern Severe Weather (June 2024)",Severe Storm,20240612,20240614,1228,1228,0
"Central and Northeast Severe Weather (June 2024)",Severe Storm,20240624,20240626,1704,1704,3
