Weather and Climate Billion-Dollar Disasters to affect New Hampshire from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Hurricane Gloria (September 1985)",Tropical Cyclone,19850926,19850928,2482.9,856.1,11
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12159.4,5527,270
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2236.3,1040,70
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1925.8,977.5,67
"Northeast Ice Storm (January 1998)",Winter Storm,19980105,19980109,2733.5,1401.8,16
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Central and Eastern Winter Storm (Mid-January 1999)",Winter Storm,19990113,19990116,1684.8,882,0
"Hurricane Floyd (September 1999)",Tropical Cyclone,19990914,19990916,12138.1,6491,77
"East/South Severe Weather and Flooding (April 2007)",Severe Storm,20070413,20070417,3811.8,2507.8,9
"Hurricane Irene (August 2011)",Tropical Cyclone,20110826,20110828,18756.7,13494,45
"Northeastern Winter Storm (October 2011)",Winter Storm,20111029,20111030,1285.8,925,1
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3969.3,2962.1,30
"West/Northeast/Southeast Drought (2016)",Drought,20160101,20161231,4580,3443.5,0
"Central and Eastern Winter Storm (January 2018)",Winter Storm,20180103,20180105,1324.6,1043,22
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Northeastern Winter Storm/Cold Wave (February 2023)",Winter Storm,20230202,20230205,1838.8,1751,1
"Northeastern Flooding and North Central Severe Weather (July 2023)",Flooding,20230709,20230715,2230.4,2165,10
"East Coast Storm and Flooding (December 2023)",Flooding,20231216,20231218,1301.6,1276,5
