Weather and Climate Billion-Dollar Disasters to affect New York from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1851.6,603.1,80
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"Ohio and Pennsylvania Tornado Outbreak (June 1985)",Severe Storm,19850531,19850531,1752,600,89
"Hurricane Gloria (September 1985)",Tropical Cyclone,19850926,19850928,2482.9,856.1,11
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1503.1,645,0
"Hurricane Bob (August 1991)",Tropical Cyclone,19910818,19910820,3456.7,1502.9,18
"Northeast Winter Storm (December 1992)",Winter Storm,19921210,19921213,5512.4,2483,19
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12159.4,5527,270
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2236.3,1040,70
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6414.5,2997.5,9
"Blizzard/Floods (January 1996)",Winter Storm,19960101,19960131,6126.2,3003,187
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1925.8,977.5,67
"Northeast Ice Storm (January 1998)",Winter Storm,19980105,19980109,2733.5,1401.8,16
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1725.8,894,12
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Central and Eastern Winter Storm (Mid-January 1999)",Winter Storm,19990113,19990116,1684.8,882,0
"Hurricane Floyd (September 1999)",Tropical Cyclone,19990914,19990916,12138.1,6491,77
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3663.9,2093.8,7
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Severe Storms/Hail (April 2003)",Severe Storm,20030404,20030407,3430.8,2006.3,3
"Southern Derecho and Eastern Severe Weather (July 2003)",Severe Storm,20030721,20030723,1723.9,1008.2,7
"Hurricane Isabel (September 2003)",Tropical Cyclone,20030918,20030919,9322.9,5484,55
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1682.9,1013.9,4
"Hurricane Frances (September 2004)",Tropical Cyclone,20040903,20040909,16268,9800,48
"Hurricane Ivan (September 2004)",Tropical Cyclone,20040912,20040921,34031,20500.5,57
"Hurricane Jeanne (September 2004)",Tropical Cyclone,20040915,20040929,12444.5,7496.5,28
"Northeast Flooding (June 2006)",Flooding,20060625,20060628,2358.5,1521.6,20
"East/South Severe Weather and Flooding (April 2007)",Severe Storm,20070413,20070417,3811.8,2507.8,9
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)",Drought,20070601,20071130,5484.6,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1463.3,982,12
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Northeast Flooding (March 2010)",Flooding,20100301,20100331,2674,1844.2,11
"Midwest/Northeast Severe Storms and Flooding (July 2010)",Severe Storm,20100720,20100723,1365.6,948.3,0
"Groundhog Day Blizzard (February 2011)",Winter Storm,20110201,20110203,2565.7,1794.2,36
"Hurricane Irene (August 2011)",Tropical Cyclone,20110826,20110828,18756.7,13494,45
"Tropical Storm Lee (September 2011)",Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
"Northeastern Winter Storm (October 2011)",Winter Storm,20111029,20111030,1285.8,925,1
"Southern Plains/Midwest/Northeast Severe Weather (May 2012)",Severe Storm,20120525,20120530,3156.1,2303.7,1
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
"U.S. Drought/Heat Wave (2012)",Drought,20120101,20121231,41705.2,30003.6,123
"Midwest/Plains/East Tornadoes (May 2013)",Severe Storm,20130518,20130522,3240.5,2400.3,27
"Midwest/Plains/Northeast Tornadoes (May 2013)",Severe Storm,20130527,20130531,2448.4,1813.5,10
"Midwest/Southeast/Northeast Winter Storm (January 2014)",Winter Storm,20140105,20140108,2911.5,2172.7,16
"Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014)",Severe Storm,20140427,20140501,2309.2,1736.1,33
"Rockies/Midwest/Eastern Severe Weather (May 2014)",Severe Storm,20140518,20140523,4901.4,3713.2,0
"Michigan and Northeast Flooding (August 2014)",Flooding,20140811,20140813,1361.9,1031.7,2
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3969.3,2962.1,30
"Central and Northeast Severe Weather (June 2015)",Severe Storm,20150621,20150625,1547.1,1172,1
"Southeast and Eastern Tornadoes (February 2016)",Severe Storm,20160222,20160224,1383.5,1040,10
"Rockies and Northeast Severe Weather (July 2016)",Severe Storm,20160728,20160730,1920,1465.6,0
