Weather and Climate Billion-Dollar Disasters to affect Wisconsin from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Midwest Flooding (Summer 1993)",Flooding,19930627,19930815,46323.6,20960.9,48
"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2017.6,984,872
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1725.8,894,12
"Midwest/Ohio Valley Hail and Tornadoes (April 2001)",Severe Storm,20010406,20010411,5508.7,3094.8,3
"North Central Severe Weather (May 2001)",Severe Storm,20010430,20010501,1194.3,671,0
"Western/Central Drought/Heat Wave (Spring-Fall 2003)",Drought,20030301,20031130,8680.8,5017.7,35
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1682.9,1013.9,4
"Midwest Drought (Spring-Summer 2005)",Drought,20050301,20050831,2433.6,1474.8,0
"Midwest Tornadoes (April 2006)",Severe Storm,20060413,20060416,3780.6,2423.5,27
"North Central Severe Weather and Tornadoes (August 2006)",Severe Storm,20060823,20060824,1168.9,759,1
"Central Severe Weather (October 2006)",Severe Storm,20061002,20061005,1371.3,879,1
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)",Drought,20070601,20071130,5484.6,3538.3,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1463.3,982,12
"Midwest/Mid-Atlantic Severe Weather (June 2008)",Severe Storm,20080606,20080612,2355.7,1635.9,18
"Midwest Flooding (Summer 2008)",Flooding,20080401,20080630,14838,9958.4,24
"U.S. Drought (2008)",Drought,20080101,20081231,10444.7,7009.8,0
"Midwest/Northeast Severe Storms and Flooding (July 2010)",Severe Storm,20100720,20100723,1365.6,948.3,0
"Midwest/Southeast Tornadoes and Derecho (April 2011)",Severe Storm,20110404,20110405,3885.3,2775.2,9
