Weather and Climate Billion-Dollar Disasters to affect West Virginia from 1980-2024
Cost values are in millions of dollars
Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,2211.1,662,85
"Midwest/Plains/Southeast Tornadoes (April 1982)",Severe Storm,19820402,19820404,1599.5,483.2,33
"Freeze/Cold Wave (December 1983)",Freeze,19831215,19831225,6459.2,2005.8,151
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2493.7,836.9,150
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,4046,1400,62
"U.S. Drought/Heat Wave (Summer 1988)",Drought,19880601,19880831,54410.5,20003.8,454
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1693.8,680,100
"U.S. Drought (Spring-Summer 1991)",Drought,19910301,19910831,7039.8,3008.5,0
"Northeast Winter Storm (December 1992)",Winter Storm,19921210,19921213,5512.4,2483,19
"East Coast Blizzard and Severe Weather (March 1993)",Winter Storm,19930311,19930314,12159.4,5527,270
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2236.3,1040,70
"Southeast Ice Storm (February 1994)",Winter Storm,19940208,19940213,6414.5,2997.5,9
"Blizzard/Floods (January 1996)",Winter Storm,19960101,19960131,6126.2,3003,187
"Hurricane Fran (September 1996)",Tropical Cyclone,19960905,19960908,9963.9,5007,37
"Mississippi and Ohio Valley Severe Weather and Flooding (March 1997)",Severe Storm,19970228,19970305,1925.8,977.5,67
"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2197.3,1138.4,20
"Central and Eastern Severe Storms and Flooding (June 1998)",Severe Storm,19980620,19980624,1725.8,894,12
"Central and Eastern Winter Storm (January 1999)",Winter Storm,19990101,19990104,1972.1,1032.5,25
"Central and Eastern Winter Storm (Mid-January 1999)",Winter Storm,19990113,19990116,1684.8,882,0
"Eastern Drought/Heat Wave (Summer 1999)",Drought,19990601,19990831,4772.8,2498.9,502
"Severe Storms and Tornadoes (April 2002)",Severe Storm,20020427,20020428,3663.9,2093.8,7
"U.S. Drought (Spring-Fall 2002)",Drought,20020301,20021130,16031.6,9006.4,0
"Midwest/Plains Severe Weather (July 2003)",Severe Storm,20030704,20030709,1467.3,858.1,7
"Hurricane Isabel (September 2003)",Tropical Cyclone,20030918,20030919,9322.9,5484,55
"Hurricane Ivan (September 2004)",Tropical Cyclone,20040912,20040921,34031,20500.5,57
"Spring Freeze (April 2007)",Freeze,20070404,20070410,3168.6,2044,0
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)",Drought,20070601,20071130,5484.6,3538.3,15
"Southeast/Ohio Valley Severe Weather (February 2009)",Severe Storm,20090210,20090211,2575.4,1740.2,10
"Northeast Winter Storm (February 2010)",Winter Storm,20100209,20100211,1184.8,817,3
"Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011)",Drought,20110301,20110831,17109.5,11964.8,95
"Plains/East/Northeast Derecho (June-July 2012)",Severe Storm,20120629,20120702,3957,2888.4,28
"Hurricane Sandy (October 2012)",Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
"Center Severe Weather (May 2014)",Severe Storm,20140510,20140514,1126,853,0
"Midwest/Ohio Valley Severe Weather (April 2015)",Severe Storm,20150407,20150409,2069,1555.6,2
"West Virginia Flooding and Ohio Valley Tornadoes (June 2016)",Flooding,20160622,20160624,1288.5,968.8,23
"Central/Southeast Tornado Outbreak (March 2017)",Severe Storm,20170228,20170301,2329.9,1806,6
"Central and Eastern Severe Weather (May 2018)",Severe Storm,20180513,20180515,1726.2,1370,5
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,20190223,20190225,1534.3,1237.5,2
"Midwest and Ohio Valley Severe Weather (March 2020)",Severe Storm,20200327,20200328,3120.9,2558,0
"North Central and Ohio Valley Hail Storms and Severe Weather (April 2020)",Severe Storm,20200407,20200408,3543.9,2881,0
"Southeast and Eastern Tornado Outbreak (April 2020)",Severe Storm,20200412,20200413,4236.2,3444,35
"Hurricane Ida (August 2021)",Tropical Cyclone,20210829,20210901,84608.1,73572,96
"Central and Eastern Winter Storm and Cold Wave (December 2022)",Winter Storm,20221221,20221226,8951.7,8445,87
"Southern and Eastern Severe Weather (April 2023)",Severe Storm,20230324,20230326,2956,2815,23
"Central Tornado Outbreak and Eastern Severe Weather (April 2024)",Severe Storm,20240401,20240403,2465.5,2441,3
